# noise_perc_th noise_perc SNR_dB NN_nosym_f1 NN_nosym_f2 NN_postSR_f1_nosym NN_postSR_f2_nosym NN_sym_f1 NN_sym_f2 NN_postSR_f1 NN_postSR_f2 Param_f1 Param_f2
3.1623e+00 3.2314e+00 3.0000e+01 2.1567e-02 1.5216e-02 1.8863e-02 1.2554e-02 6.4687e-03 4.9755e-03 1.9674e-03 3.3617e-03 1.6315e-03 3.9376e-04
3.1623e+00 3.1572e+00 3.0000e+01 1.1831e-02 1.2984e-02 3.3796e-03 8.0967e-03 4.9550e-03 6.5993e-03 4.0471e-03 5.4416e-03 1.8897e-03 1.9110e-03
3.1623e+00 3.1270e+00 3.0000e+01 2.7983e-02 2.1965e-02 2.5610e-02 2.1083e-02 4.9506e-03 3.8946e-03 2.2853e-03 2.5901e-03 1.7054e-03 7.3053e-04
3.1623e+00 3.1193e+00 3.0000e+01 1.8158e-02 1.6299e-02 1.2374e-02 1.4695e-02 4.8074e-03 2.7623e-03 1.6900e-03 1.8559e-03 6.2006e-04 1.8081e-03
3.1623e+00 3.1282e+00 3.0000e+01 1.8680e-02 1.8832e-02 1.4345e-02 1.5692e-02 7.3580e-03 3.5488e-03 3.7531e-03 3.0795e-03 2.7686e-03 7.9739e-04
3.1623e+00 3.2160e+00 3.0000e+01 1.6277e-02 1.7569e-02 9.1290e-03 1.2429e-02 3.4835e-03 3.0833e-03 7.6903e-04 7.9588e-04 1.0890e-03 8.4211e-04
3.1623e+00 3.0411e+00 3.0000e+01 2.3247e-02 2.5107e-02 2.0982e-02 2.3537e-02 6.6142e-03 4.9448e-03 6.0853e-03 4.3251e-03 1.3357e-03 8.9839e-04
3.1623e+00 3.1989e+00 3.0000e+01 1.6120e-02 1.2296e-02 1.3197e-02 8.2702e-03 2.6955e-03 4.1623e-03 1.7458e-03 3.2742e-03 5.1131e-04 1.0657e-03
3.5481e+00 3.5408e+00 2.9000e+01 1.5623e-02 1.3791e-02 9.1702e-03 7.3632e-03 4.3541e-03 6.3814e-03 7.3833e-04 4.9764e-03 1.2102e-03 6.7730e-04
3.5481e+00 3.4445e+00 2.9000e+01 1.7140e-02 2.1148e-02 1.1044e-02 1.8808e-02 4.2710e-03 5.8179e-03 6.2311e-04 4.3192e-03 1.8514e-03 1.6400e-03
