# noise_perc_th noise_perc SNR_dB Param_f1 Param_f2 SR_f1 SR_f2 SR_CC_f1 SR_CC_f2
3.1623e+00 3.1623e+00 3.0000e+01 6.6339e-03 3.5015e-02 6.6655e-03 2.2481e-02 6.7824e-03 1.4072e-02
3.1623e+00 3.1623e+00 3.0000e+01 6.9807e-03 4.0326e-02 7.1915e-03 1.0149e-02 7.1909e-03 1.0150e-02
3.5481e+00 3.5481e+00 2.9000e+01 1.1306e-02 3.2102e-02 2.3265e-02 2.5845e-02 1.1398e-02 1.4649e-02
3.5481e+00 3.5481e+00 2.9000e+01 4.2219e-04 4.2953e-02 6.6501e-04 1.4304e-02 6.6511e-04 1.4306e-02
3.5481e+00 3.5481e+00 2.9000e+01 6.4599e-03 5.3186e-02 6.5469e-03 1.0440e-02 6.5754e-03 1.0443e-02
3.5481e+00 3.5481e+00 2.9000e+01 1.0143e-02 3.5644e-02 1.0142e-02 3.5645e-02 1.0238e-02 1.1031e-02
3.5481e+00 3.5481e+00 2.9000e+01 3.2700e-03 3.0614e-02 3.3821e-03 1.6937e-02 3.3814e-03 1.6936e-02
3.5481e+00 3.5481e+00 2.9000e+01 1.0305e-03 4.2089e-02 1.2978e-03 1.3238e-02 1.2984e-03 1.3235e-02
3.5481e+00 3.5481e+00 2.9000e+01 9.5149e-03 3.4465e-02 9.3940e-03 1.3734e-02 9.3763e-03 1.5594e-02
3.5481e+00 3.5481e+00 2.9000e+01 4.4286e-03 3.7370e-02 4.1364e-02 1.2728e-02 4.6021e-03 1.0344e-02
3.5481e+00 3.5481e+00 2.9000e+01 1.9037e-03 4.4096e-02 1.8088e-03 1.7054e-02 1.5482e-03 1.2081e-02
3.5481e+00 3.5481e+00 2.9000e+01 3.7507e-03 3.8781e-02 3.9191e-03 1.6810e-02 3.9242e-03 1.6815e-02
3.9811e+00 3.9811e+00 2.8000e+01 4.3881e-03 3.5907e-02 4.5193e-03 9.8893e-03 4.5190e-03 9.8883e-03
3.9811e+00 3.9811e+00 2.8000e+01 5.3336e-03 4.6003e-02 4.4275e-03 1.2468e-02 5.4019e-03 1.2399e-02
3.9811e+00 3.9811e+00 2.8000e+01 3.5119e-03 3.7483e-02 3.5285e-03 1.0166e-02 3.6497e-03 1.2537e-02
3.9811e+00 3.9811e+00 2.8000e+01 2.6663e-03 4.5370e-02 2.9047e-03 1.2239e-02 2.8922e-03 1.2240e-02
3.9811e+00 3.9811e+00 2.8000e+01 1.1552e-03 3.0792e-02 1.2579e-03 9.6534e-03 1.2503e-03 9.6530e-03
3.9811e+00 3.9811e+00 2.8000e+01 2.6752e-03 3.2226e-02 2.7829e-03 1.5665e-02 2.7831e-03 1.5665e-02
3.9811e+00 3.9811e+00 2.8000e+01 3.9730e-06 4.0554e-02 2.5964e-04 1.0976e-02 2.6023e-04 1.0976e-02
3.9811e+00 3.9811e+00 2.8000e+01 5.3954e-03 3.9083e-02 5.1763e-03 1.7476e-02 5.1815e-03 1.7472e-02
3.9811e+00 3.9811e+00 2.8000e+01 9.7824e-03 3.8991e-02 9.9548e-03 9.9763e-03 9.9395e-03 9.9763e-03
3.9811e+00 3.9811e+00 2.8000e+01 2.7013e-03 3.9611e-02 2.9817e-03 1.2204e-02 2.9815e-03 1.2188e-02
4.4668e+00 4.4668e+00 2.7000e+01 2.5894e-03 3.5503e-02 1.3728e-03 2.2470e-02 2.7802e-03 1.5038e-02
4.4668e+00 4.4668e+00 2.7000e+01 5.3991e-03 4.2132e-02 5.5290e-03 1.5654e-02 5.5340e-03 1.5650e-02
4.4668e+00 4.4668e+00 2.7000e+01 4.6489e-03 3.1263e-02 2.1004e-04 3.6118e-02 4.4236e-03 1.1100e-02
4.4668e+00 4.4668e+00 2.7000e+01 5.1849e-04 3.2431e-02 4.8763e-04 2.2485e-02 3.3582e-04 1.3083e-02
4.4668e+00 4.4668e+00 2.7000e+01 9.3859e-03 2.9083e-02 9.2425e-03 2.0312e-02 9.2418e-03 2.0325e-02
4.4668e+00 4.4668e+00 2.7000e+01 4.5709e-03 3.5931e-02 4.6660e-03 1.3815e-02 4.6798e-03 1.3823e-02
4.4668e+00 4.4668e+00 2.7000e+01 7.1567e-03 3.7584e-02 7.2220e-03 2.2509e-02 7.2378e-03 1.0178e-02
4.4668e+00 4.4668e+00 2.7000e+01 5.2948e-03 3.5207e-02 5.4604e-03 1.3769e-02 5.4585e-03 1.3769e-02
4.4668e+00 4.4668e+00 2.7000e+01 5.9449e-03 2.8500e-02 5.9939e-03 2.2478e-02 5.8334e-03 1.7453e-02
4.4668e+00 4.4668e+00 2.7000e+01 7.9971e-03 4.5987e-02 8.2071e-03 1.0115e-02 8.2077e-03 1.0115e-02
5.0119e+00 5.0119e+00 2.6000e+01 4.2425e-03 3.4782e-02 4.1758e-03 3.1839e-02 3.9326e-03 1.4032e-02
5.0119e+00 5.0119e+00 2.6000e+01 8.2190e-03 4.6969e-02 1.2896e-02 1.6841e-02 8.5328e-03 9.8408e-03
