# x	res_f2_nosym	res_f2_sym	res_f2_NN_SR
-2.88139750e-01	-8.12233309e-03	-2.79102544e-03	2.24866532e-03
-3.13028172e-01	-1.28851116e-02	-1.96887852e-03	2.24866532e-03
-3.37954648e-01	-1.23969934e-02	-1.28331990e-03	2.24866532e-03
-3.62900893e-01	-1.05471918e-02	-8.12561197e-04	2.24866532e-03
-3.87853866e-01	-7.31875154e-03	-1.25302526e-03	2.24866532e-03
-4.12799682e-01	-2.96761961e-03	-7.38197278e-04	2.24866532e-03
-4.37723182e-01	-5.03871946e-03	-4.01107578e-03	2.24866532e-03
-4.62607940e-01	-6.48802225e-03	-5.71527784e-03	2.24866532e-03
-4.87436262e-01	-6.18524993e-03	-8.15059388e-03	2.24866532e-03
-5.12189183e-01	-9.72844431e-03	-1.02638728e-02	2.24866532e-03
-5.36844341e-01	-1.13860957e-02	-1.15784101e-02	2.24866532e-03
-5.61373361e-01	-9.26996634e-03	-1.09433965e-02	2.24866532e-03
-5.85750139e-01	-4.52608865e-03	-1.16497378e-02	2.24866532e-03
-6.09947202e-01	-2.98815537e-03	-1.15016358e-02	2.24866532e-03
-6.33935474e-01	6.51526058e-04	-9.82396046e-03	2.24866532e-03
-6.57684273e-01	6.41067260e-03	-7.89426334e-03	2.24866532e-03
-6.81161315e-01	1.42910449e-02	-3.70133238e-03	2.24866532e-03
-7.04332708e-01	7.44693325e-03	4.54175928e-04	2.24866532e-03
-7.27163171e-01	1.29212601e-03	4.32969792e-03	2.24866532e-03
-7.49616280e-01	-2.54338369e-03	2.18931451e-03	2.24866532e-03
-7.71653657e-01	-4.10344837e-03	-2.35953567e-03	2.24866532e-03
-7.93235332e-01	-3.63559945e-03	-5.40764554e-03	2.24866532e-03
-8.14319762e-01	1.15032622e-03	-6.24514988e-03	2.24866532e-03
-8.34863833e-01	6.03978841e-03	-4.97242303e-03	2.24866532e-03
-8.54822859e-01	3.20021443e-03	-1.73420079e-03	2.24866532e-03
-8.74150583e-01	2.39719159e-03	-1.87859230e-03	2.24866532e-03
-8.92801831e-01	3.12539098e-03	-6.93955453e-04	2.24866532e-03
-9.10739227e-01	-2.45389657e-03	-3.78179712e-04	2.24866532e-03
-9.27924363e-01	-6.15034999e-03	-8.74273497e-04	2.24866532e-03
-9.44319205e-01	-8.14562539e-03	9.69891798e-05	2.24866532e-03
-9.59886717e-01	-9.09061199e-03	-1.28438537e-03	2.24866532e-03
-9.74592392e-01	-8.70148803e-03	-2.51557644e-03	2.24866532e-03
-9.88406220e-01	-7.18470065e-03	-3.86703906e-03	2.24866532e-03
-1.00129880e+00	-4.74818173e-03	-3.66637791e-03	2.24866532e-03
-1.01324042e+00	-1.60107490e-03	-2.83216600e-03	2.24866532e-03
-1.02421377e+00	2.05520341e-03	-1.99558040e-03	2.24866532e-03
-1.03419925e+00	6.02506312e-03	-1.17907462e-03	2.24866532e-03
-1.04317896e+00	6.38079921e-03	-3.99884304e-03	2.24866532e-03
-1.05115047e+00	1.68279004e-03	-6.07935149e-03	2.24866532e-03
-1.05810517e+00	-2.08836752e-03	-7.56727117e-03	2.24866532e-03
-1.06404132e+00	-5.06503768e-03	-8.59478004e-03	2.24866532e-03
-1.06897130e+00	-7.36546748e-03	-9.27657120e-03	2.24866532e-03
-1.07289926e+00	-9.08707860e-03	-9.70844212e-03	2.24866532e-03
-1.07583893e+00	-1.03106208e-02	-9.96680630e-03	2.24866532e-03
-1.07781605e+00	-1.11019506e-02	-1.01091309e-02	2.24866532e-03
-1.07885644e+00	-1.15085390e-02	-1.03160289e-02	2.24866532e-03
-1.07899094e+00	-1.15603293e-02	-1.03494162e-02	2.24866532e-03
-1.07825502e+00	-1.12746280e-02	-1.01648491e-02	2.24866532e-03
-1.07668850e+00	-1.06538740e-02	-1.00312438e-02	2.24866532e-03
-1.07433538e+00	-9.69156886e-03	-9.84174277e-03	2.24866532e-03
