# noise_perc_th noise_perc SNR_dB SINDy_f1 SINDy_f2 Poly_f1 Poly_f2 Param_f1 Param_f2
4.4668e+00 4.4668e+00 2.7000e+01 1.3836e+00 1.1242e+00 1.1480e+00 1.3653e+00 3.1945e-01 2.9264e-02
4.4668e+00 4.4668e+00 2.7000e+01 1.3591e+00 1.1375e+00 1.0845e+00 1.4759e+00 3.4985e-01 2.5417e-02
5.0119e+00 5.0119e+00 2.6000e+01 1.3240e+00 1.1364e+00 1.0177e+00 1.6518e+00 3.1436e-01 3.3531e-02
5.0119e+00 5.0119e+00 2.6000e+01 1.4125e+00 1.1231e+00 1.0301e+00 1.6406e+00 3.4420e-01 3.4091e-02
5.0119e+00 5.0119e+00 2.6000e+01 1.3914e+00 1.1409e+00 1.1054e+00 1.4836e+00 3.2249e-01 2.7895e-02
5.0119e+00 5.0119e+00 2.6000e+01 1.3425e+00 1.1075e+00 1.0321e+00 1.5620e+00 3.5294e-01 3.3516e-02
5.0119e+00 5.0119e+00 2.6000e+01 1.4159e+00 1.1151e+00 1.0517e+00 1.5826e+00 3.1184e-01 2.8569e-02
5.0119e+00 5.0119e+00 2.6000e+01 1.3696e+00 1.1629e+00 1.0237e+00 1.6890e+00 3.2255e-01 3.4925e-02
5.0119e+00 5.0119e+00 2.6000e+01 1.2762e+00 1.1739e+00 1.0832e+00 1.3901e+00 3.4054e-01 3.0308e-02
5.0119e+00 5.0119e+00 2.6000e+01 1.4615e+00 1.0684e+00 1.0220e+00 1.6516e+00 3.3476e-01 3.0833e-02
5.0119e+00 5.0119e+00 2.6000e+01 1.3395e+00 1.1624e+00 1.0201e+00 1.6988e+00 3.3629e-01 3.4004e-02
5.0119e+00 5.0119e+00 2.6000e+01 1.2645e+00 1.2682e+00 1.0484e+00 1.5718e+00 3.3945e-01 3.6908e-02
5.6234e+00 5.6234e+00 2.5000e+01 1.3742e+00 1.1035e+00 1.0650e+00 1.5169e+00 3.4858e-01 2.8245e-02
5.6234e+00 5.6234e+00 2.5000e+01 1.3048e+00 1.1546e+00 1.0082e+00 1.6737e+00 3.2897e-01 3.6348e-02
5.6234e+00 5.6234e+00 2.5000e+01 1.3123e+00 1.1865e+00 1.0906e+00 1.4612e+00 3.3922e-01 3.7770e-02
5.6234e+00 5.6234e+00 2.5000e+01 1.2640e+00 1.1645e+00 1.0439e+00 1.4740e+00 3.1865e-01 3.3135e-02
5.6234e+00 5.6234e+00 2.5000e+01 1.2907e+00 1.1437e+00 1.0802e+00 1.3815e+00 3.4871e-01 3.7514e-02
5.6234e+00 5.6234e+00 2.5000e+01 1.3448e+00 1.1910e+00 1.1362e+00 1.4309e+00 3.4910e-01 3.1829e-02
5.6234e+00 5.6234e+00 2.5000e+01 1.3200e+00 1.1404e+00 1.0196e+00 1.7502e+00 3.5717e-01 1.7526e-02
5.6234e+00 5.6234e+00 2.5000e+01 1.2294e+00 1.1894e+00 1.0170e+00 1.5820e+00 3.3164e-01 3.3932e-02
5.6234e+00 5.6234e+00 2.5000e+01 1.3374e+00 1.1180e+00 9.9345e-01 1.6491e+00 3.3248e-01 2.9822e-02
5.6234e+00 5.6234e+00 2.5000e+01 1.3764e+00 1.1935e+00 1.0648e+00 1.5852e+00 3.4291e-01 2.6694e-02
6.3096e+00 6.3096e+00 2.4000e+01 1.2506e+00 1.1749e+00 9.7094e-01 1.8020e+00 3.6658e-01 4.0395e-02
6.3096e+00 6.3096e+00 2.4000e+01 1.3656e+00 1.1639e+00 1.1285e+00 1.4416e+00 3.4708e-01 3.1947e-02
6.3096e+00 6.3096e+00 2.4000e+01 1.3728e+00 1.0834e+00 1.0075e+00 1.6649e+00 3.4611e-01 2.7880e-02
6.3096e+00 6.3096e+00 2.4000e+01 1.4565e+00 1.1734e+00 1.0288e+00 1.7194e+00 3.5820e-01 2.2994e-02
6.3096e+00 6.3096e+00 2.4000e+01 1.3834e+00 1.1371e+00 9.9751e-01 1.7577e+00 3.3210e-01 3.9708e-02
6.3096e+00 6.3096e+00 2.4000e+01 1.2755e+00 1.1283e+00 1.0086e+00 1.7341e+00 3.4918e-01 2.9993e-02
6.3096e+00 6.3096e+00 2.4000e+01 1.3632e+00 1.1126e+00 9.9324e-01 1.8719e+00 3.3793e-01 3.3970e-02
6.3096e+00 6.3096e+00 2.4000e+01 1.4185e+00 1.1200e+00 1.0301e+00 1.6957e+00 3.3051e-01 3.0468e-02
6.3096e+00 6.3096e+00 2.4000e+01 1.2573e+00 1.2192e+00 1.0516e+00 1.5421e+00 3.2167e-01 3.4094e-02
6.3096e+00 6.3096e+00 2.4000e+01 1.3413e+00 1.0747e+00 1.0081e+00 1.6124e+00 3.7043e-01 3.1087e-02
7.0795e+00 7.0795e+00 2.3000e+01 1.2398e+00 1.1914e+00 9.6963e-01 1.8625e+00 3.6900e-01 4.1688e-02
7.0795e+00 7.0795e+00 2.3000e+01 1.3757e+00 1.1704e+00 1.0992e+00 1.4815e+00 3.5673e-01 3.5979e-02
7.0795e+00 7.0795e+00 2.3000e+01 1.3416e+00 1.1246e+00 1.0593e+00 1.5082e+00 3.6715e-01 3.8860e-02
7.0795e+00 7.0795e+00 2.3000e+01 1.3718e+00 1.0801e+00 1.0202e+00 1.6671e+00 3.5749e-01 2.9605e-02
7.0795e+00 7.0795e+00 2.3000e+01 1.3859e+00 1.2477e+00 9.9580e-01 1.8361e+00 3.6930e-01 3.3114e-02
