noise_th noise noise_db xSR vSR xSR-CC vSR-CC xparam vparam
1.00000000 0.96506167 40.00000000 0.00052918 0.00019277 0.00073030 0.00023019 0.00042840 0.00018753
1.00000000 0.96506167 40.00000000 0.00064749 0.00056405 0.00112008 0.00076007 0.00130659 0.00070260
1.00000000 0.99655599 40.00000000 0.00870258 0.00561193 0.00060685 0.00044515 0.00063917 0.00042954
1.00000000 0.99655599 40.00000000 0.00974060 0.00613638 0.00066770 0.00046580 0.00069189 0.00049060
1.00000000 0.99655599 40.00000000 0.01768273 0.01565336 0.00057942 0.00064046 0.00059948 0.00067495
1.00000000 0.99655599 40.00000000 0.00606350 0.00571793 0.00048343 0.00036935 0.00052287 0.00036770
1.00000000 0.99655599 40.00000000 0.01053420 0.00817312 0.00114471 0.00090215 0.00118101 0.00090515
1.00000000 0.99655599 40.00000000 0.02117887 0.01389074 0.00067427 0.00058993 0.00083701 0.00066614
1.00000000 0.99655599 40.00000000 0.01246823 0.00705719 0.00081619 0.00047962 0.00082171 0.00044560
1.00000000 0.99655599 40.00000000 0.00820205 0.00611881 0.00057058 0.00039956 0.00052545 0.00036648
