# noise_perc_th noise_perc SNR_dB SINDy_ku0_f1 SINDy_ku0_f2 SINDy_f1 SINDy_f2 SINDy_Sym_f1 SINDy_Sym_f2 SINDy_Sym_f1_SR SINDy_Sym_f2_SR Poly_f1 Poly_f2 Param_f1 Param_f2
2.2387e+00 2.2387e+00 3.3000e+01 1.5891e-01 1.5819e+00 3.1683e-01 2.8871e-01 2.4206e-01 2.0021e-01 2.3159e-01 1.9947e-01 2.0719e-01 5.0803e-01 2.8984e-03 3.9711e-02
2.2387e+00 2.2387e+00 3.3000e+01 1.6533e-01 6.2433e+00 3.1211e-01 2.9893e-01 2.5381e-01 2.0914e-01 2.3593e-01 2.0617e-01 2.1414e-01 5.2778e-01 3.6424e-03 4.5455e-02
2.2387e+00 2.2387e+00 3.3000e+01 1.6506e-01 6.2193e-01 2.9427e-01 2.8596e-01 2.5363e-01 2.0307e-01 2.4707e-01 2.0050e-01 2.2692e-01 5.2280e-01 3.2066e-03 4.2403e-02
2.2387e+00 2.2387e+00 3.3000e+01 1.6277e-01 3.6508e+00 2.9704e-01 2.8559e-01 2.5883e-01 2.0159e-01 2.0136e-01 2.0127e-01 2.2432e-01 5.2316e-01 1.3756e-03 3.8523e-02
2.5119e+00 2.5119e+00 3.2000e+01 1.6497e-01 2.5626e+00 3.1295e-01 2.6879e-01 2.5537e-01 1.8503e-01 2.4593e-01 1.9370e-01 2.1961e-01 5.1206e-01 6.8682e-04 2.8250e-02
2.5119e+00 2.5119e+00 3.2000e+01 1.6666e-01 2.1162e+00 3.0477e-01 2.8354e-01 2.6312e-01 1.8686e-01 2.6174e-01 1.8532e-01 2.0859e-01 4.9581e-01 2.3450e-03 3.6820e-02
2.5119e+00 2.5119e+00 3.2000e+01 1.6692e-01 6.7826e+00 3.0030e-01 2.7672e-01 2.7032e-01 1.9077e-01 2.7318e-01 1.9360e-01 2.2488e-01 4.9901e-01 3.4148e-03 3.7220e-02
2.5119e+00 2.5119e+00 3.2000e+01 1.6646e-01 4.2727e+00 3.1285e-01 2.7274e-01 2.7286e-01 1.8883e-01 2.6775e-01 1.9737e-01 2.3022e-01 5.0777e-01 3.3098e-03 3.4644e-02
2.5119e+00 2.5119e+00 3.2000e+01 1.6746e-01 2.7397e+00 3.0224e-01 2.5935e-01 2.6562e-01 1.7943e-01 2.4433e-01 1.9076e-01 2.3925e-01 5.0241e-01 6.4640e-03 3.0422e-02
2.5119e+00 2.5119e+00 3.2000e+01 1.6285e-01 8.4987e+00 3.1158e-01 2.8730e-01 2.5685e-01 2.0402e-01 2.2870e-01 2.0467e-01 2.0994e-01 5.0874e-01 6.3886e-03 4.0726e-02
2.5119e+00 2.5119e+00 3.2000e+01 1.6446e-01 2.9606e+00 3.0682e-01 2.7440e-01 2.6416e-01 1.8906e-01 2.3846e-01 1.8436e-01 2.0784e-01 4.9617e-01 2.7631e-04 3.2643e-02
2.5119e+00 2.5119e+00 3.2000e+01 1.6315e-01 7.4823e+00 3.1693e-01 2.7898e-01 2.5466e-01 1.9163e-01 2.5436e-01 1.9527e-01 2.0604e-01 5.0218e-01 2.6985e-03 3.4520e-02
